"Date(Date, month, year)",GPS,dry matter %,Total N  (% 0-25 cm) in soil,JB nr.            (0-25 cm),Humus (% 0-25 cm),Clay (% in soil 0-25 cm),Silt                   (% 0-25 cm),Fine sand (% in soil 0-25 cm),Coarse sand (% in soil 0-25 cm),C (kg pr. ha) hectare,N (kg pr. ha) hectare,C/N,Biomass,C (%),N(%)
28/10/2019,"56.6705290024577, 9.10869125800006",28.2,0.12,4,2.3,5.8,2.3,60.1,29.4,369.24375,9.69375,38.09090909,881.25,41.9,1.1
28/10/2019,"56.685184506988, 9.12500840249863",20.1,0.13,4,2.4,5.9,2.6,56.3,32.9,626.6175,20.4015,30.71428571,1457.25,43,1.4
28/10/2019,"56.688826519163, 9.10136484870967",29.9,0.13,4,2.1,7,5.1,51.2,34.6,200.928,9.4185,21.33333333,523.25,38.4,1.8
28/10/2019,"56.7136360168353, 9.06768092977944",23,0.16,4,2.4,9.4,8.8,48,31.5,181.24,7.82,23.17647059,460,39.4,1.7
30/10/2019,"56.6910596722705, 9.06721593437627",9.9,0.18,4,2.8,9.1,8.8,49.7,29.5,713.752875,42.384375,16.84,1695.375,42.1,2.5
30/10/2019,"56.7070502059743, 9.11699587306408",13,0.15,4,2.9,7.4,5.8,42.9,41,1038.5375,55.055,18.86363636,2502.5,41.5,2.2
30/10/2019,"56.70389134492, 9.12271860493952",19.2,0.16,4,2.3,0.8,5.2,47.8,37.9,337.824,20.4,16.56,816,41.4,2.5
30/10/2019,"56.7054628977369, 9.12336069456817",12,0.16,4,2.5,7.7,5.8,46,38,832.14,47.61,17.47826087,2070,40.2,2.3
30/10/2019,"56.7214142325766, 9.14393544903783",22.4,0.13,4,2.2,7.1,6,40.7,44,416.024,14.28,29.13333333,952,43.7,1.5
21/10/2019,"57.3065128, 9.7836809",17.6,0.25,5,4.2,14.3,11,39.4,31.2,75.0904,6.8816,10.91176471,202.4,37.1,3.4
21/10/2019,"57.3206906, 9.7976344",12.4,0.2,6,3.6,11.5,7.7,55.1,22,98.208,10.044,9.777777778,279,35.2,3.6
21/10/2019,"57.3324874, 9.8679965",14.4,0.12,4,2.5,5.1,5.1,73.5,13.9,124.6644,11.5236,10.81818182,349.2,35.7,3.3
21/10/2019,"57.2767032, 10.0971034",19.4,0.19,4,3.3,5.5,5.4,68.4,17.5,561.3681,24.98235,22.47058824,1469.55,38.2,1.7
21/10/2019,"57.3343875, 9.8619733",13,0.25,4,4.8,6.6,7.3,64.9,16.3,87.672,9.36,9.366666667,312,28.1,3
21/10/2019,"57.2858983, 10.0386933",16.3,0.12,2,2.4,2,2,75.2,18.5,188.9496,12.3228,15.33333333,456.4,41.4,2.7
21/10/2019,"57.2866268, 10.0398651",10.6,0.16,2,5,3,1.7,61.3,29,213.59265,22.90395,9.325581395,532.65,40.1,4.3
21/10/2019,"57.2852843, 10.0411904",13.8,0.17,2,3.6,3.7,2,67.8,23,302.4546,23.9568,12.625,748.65,40.4,3.2
21/10/2019,"57.2862765, 10.1042810",21.1,0.16,4,3.2,5.8,5.8,63.2,22.1,447.0246,16.93275,26.4,1128.85,39.6,1.5
29/10/2019,"56.0490690239409, 8.68711797716217",21.6,0.17,3,3.8,5.8,4.8,35.8,49.9,509.22,28.566,17.82608696,1242,41,2.3
29/10/2019,"56.0330571951173, 8.67299714900968",18.9,0.16,3,4.8,5.4,3.4,29.9,56.5,825.552,36.855,22.4,1842.75,44.8,2
29/10/2019,"56.0335407047141, 8.67920360185744",20.3,0.14,3,3.4,5.8,3.5,33.3,54,554.54525,28.597625,19.39130435,1243.375,44.6,2.3
05/11/2019,"56.2665482910182, 8.74747248321464",21.4,0.1,1,3.9,3.1,2.1,26.5,64.5,55.64,2.675,20.8,133.75,41.6,2
05/11/2019,"56.2721330440026, 8.74134803816165",28.5,0.08,1,2.8,2.2,1.9,26.8,66.2,144.666,9.234,15.66666667,513,28.2,1.8
05/11/2019,"56.2463666176996, 8.74202200297242",26.2,0.04,1,1.8,3.6,2.5,24.1,68,64.059,2.5545,25.07692308,196.5,32.6,1.3
05/11/2019,"56.2473016435704, 8.74232232219831",23.9,0.09,1,2,4.3,2.7,28.4,62.6,63.364875,5.228125,12.12,209.125,30.3,2.5
05/11/2019,"56.2888175225926, 8.80522392956961",20,0.06,1,2,3.7,2.4,24.9,67,238.165,11.445,20.80952381,545,43.7,2.1
05/11/2019,"56.2893217434508, 8.80591602392812",20.6,0.05,1,1.8,2.5,1.6,21.3,72.7,266.049,12.3291,21.57894737,648.9,41,1.9
05/11/2019,"56.2643104593705, 8.73849483122849",21.7,0.1,1,3.3,2.8,1.3,24,68.7,72.1525,5.56605,12.96296296,206.15,35,2.7
05/11/2019,"56.2648651215256, 8.74163923803416",23.1,0.07,1,3,2.9,1.1,24.4,68.7,66.70125,5.3361,12.5,190.575,35,2.8
05/11/2019,"56.2366497202137, 8.76691552035063",16.6,0.1,1,3.2,4.1,1.8,19.5,71.4,342.0264,15.2388,22.44444444,846.6,40.4,1.8
05/11/2019,"56.2374507383205, 8.76765277471307",18.5,0.21,11,13.7,3.9,3.4,21.4,57.6,261.035,13.8195,18.88888889,767.75,34,1.8
05/11/2019,"56.2261292733943, 8.74444819923416",14.4,0.21,3,8.5,5.2,3.8,20.4,62.1,355.608,16.632,21.38095238,792,44.9,2.1
